country_code,country,city_name,population_2006,population_2011,population_2018,tot_area,density_2006,density_2018,lived_area_2006,lived_area_2011,lived_area_2018,lived_density_2006,lived_density_2011,lived_density_2018,lived_2006,lived_2011,lived_2018,min_density_2006,max_density_2006,min_density_2018,max_density_2018,gini_2006,gini_2018,shannon_2006,shannon_2018,moran_2018,bribiesca_2018,V27,V28,V29
SE,Sweden,Stockholm,1712779,1907759,2106507,2809,609.75,749.91,2027,2041,2198,844.98,934.72,958.37,72.2,72.7,78.2,0,24546,0,27054,0.847,0.84,0.797,0.803,0.188,0.872,4779,4052,30
ES,Spain,Seville,1390652,1477209,1490259,2809,495.07,530.53,854,490,687,1628.4,3014.71,2169.23,30.4,17.4,24.5,0,31052,0,28221,0.947,0.943,0.667,0.677,0.197,0.707,2905,1739,30
ES,Spain,Cordoba,375215,388978,385415,2809,133.58,137.21,457,219,383,821.04,1776.16,1006.31,16.3,7.8,13.6,0,25042,0,23951,0.982,0.984,0.509,0.509,0.168,0.592,3020,1771,30
IT,Italy,Udine,497330,507723,504090,2809,177.05,179.46,1611,2060,2063,308.71,246.47,244.35,57.4,73.3,73.4,0,6186,0,6357,0.822,0.804,0.814,0.823,0.226,0.842,4571,2555,30
ES,Spain,Madrid,5452622,5809984,5940359,2809,1941.13,2114.76,1342,1016,1102,4063.06,5718.49,5390.53,47.8,36.2,39.2,0,45324,0,44006,0.894,0.881,0.755,0.77,0.177,0.707,3159,2029,30
IT,Italy,Milan,4319167,4364191,4611600,2809,1537.62,1641.72,2594,2565,2593,1665.06,1701.44,1778.48,92.3,91.3,92.3,0,18810,0,25608,0.724,0.721,0.874,0.874,0.172,0.942,4257,2484,30
DE,Germany,Duisburg-Essen-Dortmund,4572388,4430337,4488029,2809,1627.76,1597.73,2621,2659,2659,1744.52,1666.17,1687.86,93.3,94.7,94.7,0,9433,0,15030,0.611,0.635,0.916,0.909,0.25,0.966,4121,3157,30
FR,France,Lille,2125754,2165821,2207594,2809,756.77,785.9,2686,2713,2703,791.42,798.31,816.72,95.6,96.6,96.2,0,17046,0,14881,0.733,0.73,0.867,0.869,0.151,0.966,3831,3081,30
IT,Italy,Rome,3264030,3394534,3716610,2809,1161.99,1323.11,2277,2539,2550,1433.48,1336.96,1457.49,81.1,90.4,90.8,0,12194,0,37192,0.742,0.813,0.867,0.824,0.175,0.956,4532,2092,30
FR,France,Tolouse,1045167,1093704,1194391,2809,372.08,425.2,2727,2734,2716,383.27,400.04,439.76,97.1,97.3,96.7,0,18363,0,16059,0.819,0.815,0.802,0.81,0.116,0.971,3631,2318,30
ES,Spain,Barcelona,4622311,4785541,4868660,2809,1645.54,1733.24,2190,1479,1564,2110.64,3235.66,3112.95,78,52.7,55.7,0,52898,0,52767,0.887,0.895,0.753,0.749,0.155,0.754,3663,2067,39.062
EL,Greece,Patras,322488,312775,320131,2809,114.81,113.97,744,774,1201,433.45,404.1,266.55,26.5,27.6,42.8,0,12062,0,12522,0.95,0.94,0.636,0.65,0.173,0.673,5350,1765,32.15
DK,Denmark,Aarhus,470263,496360,531476,2809,167.41,189.2,2368,2372,2359,198.59,209.26,225.3,84.3,84.4,84,0,12224,0,15015,0.866,0.873,0.76,0.758,0.192,0.929,4329,3673,31.873
SE,Sweden,Goteborg,776294,831139,903761,2809,276.36,321.74,1961,1959,2067,395.87,424.27,437.23,69.8,69.7,73.6,0,17966,0,17778,0.878,0.876,0.762,0.767,0.181,0.889,4440,3846,31.717
EL,Greece,Athens,3965222,3675528,3719119,2809,1411.61,1324,1448,1340,1805,2738.41,2742.93,2060.45,51.5,47.7,64.3,0,31597,0,28622,0.895,0.885,0.754,0.764,0.078,0.873,5534,1772,32.665
NL,Netherlands,Rotterdam-Hague,3076126,3142318,3282220,2809,1095.1,1168.47,2028,2023,2023,1516.83,1553.3,1622.45,72.2,72,72,0,20757,0,21567,0.817,0.814,0.824,0.825,0.185,0.912,3929,3217,33.201
IT,Italy,Naples,4084846,4071006,4138032,2809,1454.2,1473.13,2077,2192,2206,1966.7,1857.21,1875.81,73.9,78,78.5,0,22782,0,31458,0.75,0.789,0.862,0.84,0.19,0.91,4692,1988,31.99
IT,Italy,Palermo,1116565,1126700,1148158,2809,397.5,408.74,1014,1215,1285,1101.15,927.33,893.51,36.1,43.3,45.7,0,15617,0,23289,0.916,0.936,0.72,0.688,0.157,0.765,4621,1666,35.085
ES,Spain,Bilbao,1147628,1166545,1160264,2809,408.55,413.05,1739,1126,1153,659.94,1036.01,1006.3,61.9,40.1,41,0,42963,0,41389,0.935,0.953,0.653,0.638,0.224,0.687,3272,2329,32.302
EL,Greece,Thessaloniki,1095623,1055838,1079711,2809,390.04,384.38,1169,684,1680,937.23,1543.62,642.69,41.6,24.4,59.8,0,29529,0,28771,0.948,0.939,0.639,0.654,0.132,0.805,5412,2045,30.748
DK,Denmark,Copenhagen,1911796,2014273,1907112,2809,680.6,678.93,2064,2060,2098,926.26,977.8,909.01,73.5,73.3,74.7,0,21226,0,23136,0.84,0.831,0.802,0.808,0.18,0.921,4478,3624,35.74
